Plateforme,Asset,Quote,Datetime
Coinbase,eth_usd,328.5,1600942125.900372
Coinbase,eth_usd,328.5,1600942125.902423
Coinbase,eth_usd,328.51,1600942125.902864
Coinbase,eth_usd,328.52,1600942125.90418
Coinbase,eth_usd,328.53,1600942125.904617
Coinbase,eth_usd,328.54,1600942125.905764
Coinbase,eth_usd,328.54,1600942125.906201
Coinbase,btc_usd,10325.01,1600942126.347749
Coinbase,btc_usd,10325.01,1600942126.348253
Coinbase,btc_usd,10325.01,1600942126.425576
Coinbase,btc_usd,10325.01,1600942126.445532
Coinbase,btc_usd,10325.01,1600942126.468563
Coinbase,btc_usd,10325.01,1600942126.486479
Coinbase,btc_usd,10325.01,1600942126.49629
Coinbase,btc_usd,10325.01,1600942126.496724
Coinbase,btc_usd,10325.01,1600942126.497802
Coinbase,eth_usd,328.42,1600942126.575267
Coinbase,eth_usd,328.33,1600942126.613073
Coinbase,eth_eur,282.67,1600942126.696541
Coinbase,eth_eur,282.66,1600942126.699419
Coinbase,eth_usd,328.32,1600942127.841489
Coinbase,btc_eur,8887.77,1600942129.83935
Coinbase,btc_eur,8887.63,1600942130.80643
Coinbase,btc_usd,10325.02,1600942131.361754
Coinbase,btc_usd,10325.02,1600942131.599917
Coinbase,eth_usd,328.36,1600942133.344
Coinbase,eth_usd,328.39,1600942133.345332
Coinbase,btc_eur,8885.39,1600942133.869986
Coinbase,btc_eur,8887.03,1600942135.146447
Coinbase,btc_eur,8887.03,1600942137.303167
Coinbase,eth_eur,282.54,1600942139.820229
Coinbase,btc_usd,10325.01,1600942140.022407
Coinbase,eth_eur,282.54,1600942140.383097
Coinbase,eth_eur,282.52,1600942140.384377
Coinbase,btc_eur,8885.39,1600942142.257488
Coinbase,btc_eur,8885.39,1600942144.172296
Coinbase,btc_eur,8885.05,1600942144.172866
Coinbase,btc_usd,10325.02,1600942144.361821
Coinbase,btc_usd,10325.02,1600942146.746159
Coinbase,eth_usd,328.29,1600942147.811131
Coinbase,btc_usd,10325.02,1600942151.582261
Coinbase,eth_eur,282.51,1600942152.837862
Coinbase,btc_usd,10325.02,1600942161.773202
Coinbase,btc_usd,10325.02,1600942165.74287
Coinbase,btc_eur,8886.17,1600942167.960678
Coinbase,btc_usd,10325.02,1600942168.242818
Coinbase,btc_usd,10325.02,1600942171.049723
Coinbase,btc_usd,10325.01,1600942172.327793
Coinbase,btc_eur,8885.32,1600942173.006166
Coinbase,btc_usd,10325.02,1600942174.133461
Coinbase,btc_eur,8886.09,1600942177.081707
Coinbase,eth_eur,282.51,1600942177.508035
Coinbase,eth_eur,282.46,1600942177.508673
Coinbase,eth_eur,282.38,1600942177.509106
Coinbase,btc_eur,8885.32,1600942177.582728
Coinbase,btc_usd,10325.02,1600942181.852083
Coinbase,btc_eur,8885.32,1600942182.991764
Coinbase,eth_usd,328.18,1600942183.219922
Coinbase,eth_usd,328.18,1600942184.08778
Coinbase,btc_usd,10325.01,1600942185.427632
Coinbase,btc_usd,10325.02,1600942189.488623
Coinbase,btc_eur,8885.78,1600942191.164459
Coinbase,btc_eur,8886.77,1600942191.580467
Coinbase,btc_eur,8885.78,1600942192.853388
Coinbase,btc_usd,10325.01,1600942192.944103
Coinbase,eth_usd,328.22,1600942193.653811
Coinbase,eth_usd,328.19,1600942199.905102
Coinbase,btc_usd,10325.01,1600942201.276336
Coinbase,btc_usd,10325.01,1600942201.276996
Coinbase,btc_usd,10325.01,1600942201.581424
Coinbase,btc_usd,10325.01,1600942201.598528
Coinbase,eth_eur,282.51,1600942203.925418
Coinbase,eth_usd,328.19,1600942205.120449
Coinbase,eth_usd,328.23,1600942205.121069
Coinbase,eth_usd,328.26,1600942209.208887
Coinbase,eth_usd,328.26,1600942209.210161
Coinbase,btc_usd,10325.02,1600942212.483068
Coinbase,btc_eur,8886.79,1600942216.995159
Coinbase,btc_usd,10325.01,1600942219.817215
Coinbase,btc_eur,8885.78,1600942220.266311
Coinbase,btc_usd,10325.02,1600942222.983116
Coinbase,btc_usd,10325.02,1600942223.914201
Coinbase,eth_usd,328.44,1600942225.262483
Coinbase,btc_eur,8885.82,1600942225.407009
Coinbase,btc_eur,8886.9,1600942226.336861
Coinbase,btc_eur,8886.92,1600942226.338076
Coinbase,btc_eur,8887.99,1600942226.570253
Coinbase,eth_usd,328.45,1600942226.987406
Coinbase,eth_usd,328.49,1600942226.993901
Coinbase,eth_usd,328.54,1600942226.994344
Coinbase,eth_usd,328.54,1600942226.994779
Coinbase,eth_usd,328.55,1600942226.995214
Coinbase,eth_usd,328.56,1600942226.995648
Coinbase,eth_usd,328.59,1600942226.996082
Coinbase,eth_usd,328.6,1600942226.997196
Coinbase,eth_usd,328.61,1600942226.997635
Coinbase,eth_usd,328.61,1600942227.083555
Coinbase,eth_usd,328.61,1600942227.088897
Coinbase,eth_usd,328.63,1600942227.155592
Coinbase,eth_usd,328.65,1600942227.21279
Coinbase,eth_usd,328.65,1600942227.236852
Coinbase,eth_usd,328.66,1600942227.238103
Coinbase,eth_usd,328.66,1600942227.314793
Coinbase,eth_usd,328.67,1600942227.315376
Coinbase,eth_usd,328.67,1600942227.33973
Coinbase,eth_usd,328.68,1600942227.366242
Coinbase,eth_usd,328.68,1600942227.391498
Coinbase,eth_usd,328.69,1600942227.393175
Coinbase,eth_usd,328.69,1600942227.495226
Coinbase,eth_eur,282.74,1600942227.562938
Coinbase,eth_eur,282.74,1600942227.567197
Coinbase,eth_eur,282.9,1600942227.956535
Coinbase,eth_usd,328.97,1600942228.374585
Coinbase,eth_usd,329.03,1600942228.375224
Coinbase,eth_usd,329.04,1600942228.375647
Coinbase,btc_usd,10325.02,1600942228.90783
Coinbase,btc_usd,10325.02,1600942228.908487
Coinbase,btc_usd,10325.02,1600942228.913581
Coinbase,btc_usd,10325.02,1600942228.93383
Coinbase,btc_usd,10325.02,1600942228.964282
Coinbase,btc_usd,10325.02,1600942228.965325
Coinbase,btc_usd,10325.02,1600942228.973536
Coinbase,btc_usd,10325.02,1600942229.052887
Coinbase,btc_usd,10325.03,1600942229.285197
Coinbase,btc_usd,10325.03,1600942229.286534
Coinbase,btc_usd,10325.04,1600942229.287608
Coinbase,btc_usd,10325.04,1600942229.319899
Coinbase,btc_usd,10325.04,1600942229.320502
Coinbase,btc_usd,10325.04,1600942229.323193
Coinbase,btc_usd,10325.04,1600942229.338433
Coinbase,btc_usd,10325.04,1600942229.345626
Coinbase,btc_eur,8887.98,1600942229.355849
Coinbase,btc_eur,8887.99,1600942229.356404
Coinbase,btc_usd,10325.04,1600942229.363435
Coinbase,btc_eur,8887.99,1600942229.398788
Coinbase,btc_eur,8887.99,1600942229.399474
Coinbase,btc_eur,8887.99,1600942229.399928
Coinbase,btc_eur,8887.99,1600942229.420625
Coinbase,btc_eur,8887.44,1600942229.579716
Coinbase,btc_usd,10327.99,1600942229.665161
Coinbase,eth_usd,329.13,1600942229.678127
Coinbase,eth_eur,283.08,1600942229.726534
Coinbase,eth_eur,283.11,1600942229.728018
Coinbase,eth_eur,283.13,1600942229.729054
Coinbase,eth_usd,329.13,1600942229.750878
Coinbase,eth_usd,329.13,1600942229.913626
Coinbase,eth_usd,329.13,1600942229.914825
Coinbase,btc_eur,8887.99,1600942229.957151
Coinbase,eth_usd,329.13,1600942230.294779
Coinbase,eth_usd,329.13,1600942230.295385
Coinbase,eth_usd,329.13,1600942230.295798
Coinbase,eth_usd,329.13,1600942230.296941
Coinbase,eth_usd,329.13,1600942230.297377
Coinbase,eth_eur,283.13,1600942230.322666
Coinbase,btc_eur,8887.99,1600942230.406065
Coinbase,btc_eur,8888,1600942230.407268
Coinbase,btc_eur,8888,1600942230.438111
Coinbase,eth_eur,283.13,1600942231.293521
Coinbase,btc_usd,10330.67,1600942232.176253
Coinbase,eth_eur,283.13,1600942232.352896
Coinbase,eth_eur,283.13,1600942232.383287
Coinbase,eth_eur,283.14,1600942232.384162
Coinbase,btc_usd,10332.47,1600942233.227515
Coinbase,eth_usd,329.36,1600942234.558861
Coinbase,btc_eur,8889.72,1600942236.611531
Coinbase,btc_usd,10334.05,1600942237.22987
Coinbase,eth_usd,329.3,1600942237.657712
Coinbase,eth_usd,329.3,1600942237.685882
Coinbase,eth_usd,329.3,1600942237.690104
Coinbase,eth_usd,329.3,1600942237.690535
Coinbase,eth_usd,329.29,1600942237.693533
Coinbase,eth_usd,329.22,1600942237.713202
Coinbase,eth_usd,329.22,1600942237.737739
Coinbase,eth_usd,329.21,1600942237.794776
Coinbase,eth_usd,329.13,1600942237.847479
Coinbase,eth_eur,283.05,1600942238.504095
Coinbase,btc_usd,10332.54,1600942238.741837
Coinbase,eth_eur,283.19,1600942240.171193
Coinbase,btc_eur,8889.72,1600942240.172415
Coinbase,btc_usd,10332.83,1600942240.457684
Coinbase,eth_usd,328.89,1600942241.413499
Coinbase,btc_eur,8889.72,1600942241.697441
Coinbase,btc_usd,10332.15,1600942242.948829
Coinbase,btc_eur,8889.71,1600942243.302759
Coinbase,eth_eur,283.17,1600942245.576021
Coinbase,btc_usd,10331.4,1600942248.064615
Coinbase,btc_usd,10331.26,1600942248.06561
Coinbase,btc_eur,8889.72,1600942248.194035
Coinbase,eth_usd,328.9,1600942248.453336
Coinbase,btc_eur,8888.04,1600942248.629761
Coinbase,eth_usd,328.9,1600942248.969963
Coinbase,btc_usd,10331.27,1600942250.307894
Coinbase,btc_usd,10331.26,1600942250.309572
Coinbase,btc_eur,8888.69,1600942253.023876
Coinbase,btc_usd,10331.27,1600942253.208347
Coinbase,btc_usd,10330.95,1600942254.970459
Coinbase,btc_usd,10330.95,1600942254.971733
Coinbase,eth_usd,328.97,1600942255.371349
Coinbase,eth_usd,329.01,1600942260.086232
Coinbase,btc_eur,8889.63,1600942263.227022
Coinbase,btc_usd,10328.54,1600942264.338549
Coinbase,btc_usd,10328.56,1600942264.33915
Coinbase,btc_usd,10328.56,1600942264.339565
Coinbase,btc_usd,10328.72,1600942264.340576
Coinbase,btc_usd,10328.72,1600942264.342127
Coinbase,btc_usd,10328.72,1600942264.342558
Coinbase,btc_usd,10328.75,1600942264.34355
Coinbase,btc_eur,8886.34,1600942264.528776
Coinbase,btc_eur,8886.42,1600942265.690351
Coinbase,btc_usd,10326.64,1600942266.751048
Coinbase,eth_usd,329.02,1600942268.334366
Coinbase,eth_usd,329.06,1600942271.268959
Coinbase,btc_eur,8888.78,1600942271.937814
Coinbase,btc_eur,8888.43,1600942273.816256
Coinbase,eth_usd,329.06,1600942274.686885
Coinbase,eth_usd,329.09,1600942274.687544
Coinbase,eth_usd,329.1,1600942274.691721
Coinbase,eth_usd,329.11,1600942274.694034
Coinbase,eth_usd,329.1,1600942274.765106
Coinbase,eth_eur,283.16,1600942275.20129
Coinbase,eth_eur,283.16,1600942275.20253
Coinbase,btc_usd,10327.36,1600942275.487658
Coinbase,eth_usd,329.36,1600942277.148725
Coinbase,btc_usd,10327.37,1600942279.823883
Coinbase,btc_eur,8887.56,1600942280.328343
Coinbase,eth_usd,329.37,1600942280.491852
Coinbase,btc_eur,8889.71,1600942280.949599
Coinbase,btc_usd,10327.37,1600942283.637908
Coinbase,btc_usd,10327.37,1600942284.68033
Coinbase,btc_usd,10327.37,1600942284.948778
Coinbase,eth_eur,283.58,1600942285.05596
Coinbase,btc_eur,8889.69,1600942287.22325
Coinbase,btc_eur,8889.69,1600942288.732488
Coinbase,btc_eur,8889.69,1600942291.922801
Coinbase,btc_eur,8889.7,1600942291.923398
Coinbase,btc_eur,8889.72,1600942291.924455
Coinbase,eth_eur,283.36,1600942293.471072
Coinbase,eth_usd,329.37,1600942293.559112
Coinbase,eth_usd,329.37,1600942293.559719
Coinbase,eth_usd,329.37,1600942293.610915
Coinbase,eth_usd,329.38,1600942294.752896
Coinbase,eth_usd,329.38,1600942295.041967
Coinbase,eth_usd,329.39,1600942295.349201
Coinbase,btc_eur,8889.72,1600942295.526858
Coinbase,eth_eur,283.38,1600942295.862639
Coinbase,btc_usd,10327.37,1600942296.079773
Coinbase,btc_usd,10327.37,1600942296.103877
Coinbase,eth_usd,329.4,1600942297.181805
Coinbase,eth_usd,329.41,1600942297.182378
Coinbase,eth_usd,329.42,1600942297.183872
Coinbase,eth_usd,329.43,1600942297.184322
Coinbase,eth_usd,329.43,1600942297.227802
Coinbase,eth_usd,329.46,1600942297.228395
Coinbase,btc_usd,10327.37,1600942300.878506
Coinbase,eth_usd,329.56,1600942302.005571
Coinbase,eth_usd,329.49,1600942302.879025
Coinbase,eth_usd,329.48,1600942302.88251
Coinbase,btc_eur,8889.71,1600942304.650509
Coinbase,btc_usd,10327.36,1600942306.641065
Coinbase,btc_usd,10327.37,1600942307.090635
Coinbase,eth_usd,329.58,1600942308.558508
Coinbase,eth_usd,329.59,1600942308.560216
Coinbase,eth_usd,329.61,1600942308.83752
Coinbase,eth_usd,329.59,1600942308.838155
Coinbase,btc_usd,10327.37,1600942309.034741
Coinbase,btc_usd,10327.37,1600942309.287028
Coinbase,btc_usd,10327.37,1600942310.257793
Coinbase,btc_usd,10327.36,1600942311.044403
Coinbase,btc_usd,10327.36,1600942312.285566
Coinbase,btc_usd,10327.36,1600942312.28784
Coinbase,btc_usd,10327.36,1600942312.361371
Coinbase,btc_usd,10327.37,1600942317.934316
Coinbase,btc_usd,10327.37,1600942320.107263
Coinbase,btc_usd,10327.37,1600942320.234573
Coinbase,eth_usd,329.5,1600942320.475238
Coinbase,eth_usd,329.42,1600942320.896691
Coinbase,eth_usd,329.35,1600942320.897239
Coinbase,eth_usd,329.35,1600942320.902562
Coinbase,eth_usd,329.34,1600942320.902985
Coinbase,eth_usd,329.34,1600942320.903399
Coinbase,eth_usd,329.27,1600942320.903811
Coinbase,eth_usd,329.27,1600942320.905383
Coinbase,eth_usd,329.28,1600942320.921234
Coinbase,eth_usd,329.23,1600942320.929139
Coinbase,eth_usd,329.28,1600942320.957167
Coinbase,eth_usd,329.28,1600942321.004303
Coinbase,eth_usd,329.27,1600942321.00485
Coinbase,eth_usd,329.19,1600942321.005262
Coinbase,eth_eur,283.37,1600942321.005673
Coinbase,eth_eur,283.32,1600942321.006084
Coinbase,eth_usd,329.29,1600942321.006496
Coinbase,btc_usd,10327.36,1600942321.308606
Coinbase,btc_usd,10327.36,1600942321.309236
Coinbase,btc_usd,10327.36,1600942321.30967
Coinbase,btc_usd,10327.36,1600942321.3101
Coinbase,btc_usd,10327.36,1600942321.310532
Coinbase,btc_usd,10327.36,1600942321.345246
Coinbase,btc_usd,10327.36,1600942321.360815
Coinbase,btc_usd,10327.36,1600942321.387544
Coinbase,btc_usd,10327.36,1600942321.420309
Coinbase,eth_eur,283.29,1600942321.529633
Coinbase,eth_eur,283.23,1600942321.530956
Coinbase,eth_eur,283.19,1600942321.531391
Coinbase,btc_usd,10327.36,1600942321.789662
Coinbase,btc_usd,10327.36,1600942322.104051
Coinbase,btc_usd,10325.02,1600942323.681805
Coinbase,btc_eur,8886.29,1600942325.677995
Coinbase,eth_eur,283.08,1600942327.107254
Coinbase,btc_usd,10325.02,1600942329.170486
Coinbase,eth_usd,329.11,1600942330.883087
Coinbase,btc_usd,10325.02,1600942340.062062
Coinbase,eth_usd,329.07,1600942342.734903
Coinbase,eth_usd,329.07,1600942342.736067
Coinbase,btc_eur,8885.04,1600942343.421806
Coinbase,btc_eur,8885.04,1600942345.006794
Coinbase,btc_usd,10325.02,1600942346.709439
Coinbase,btc_usd,10325.02,1600942346.743705
Coinbase,btc_usd,10325.02,1600942348.562732
Coinbase,eth_eur,283.16,1600942353.274214
Coinbase,btc_eur,8885.04,1600942354.717695
Coinbase,eth_usd,329.07,1600942354.723217
Coinbase,btc_usd,10325.01,1600942354.808908
Coinbase,btc_eur,8885.04,1600942354.952155
Coinbase,btc_eur,8885,1600942354.952645
Coinbase,eth_usd,328.89,1600942355.775843
Coinbase,eth_usd,328.89,1600942355.776411
Coinbase,eth_usd,329.07,1600942358.665904
Coinbase,btc_usd,10326.03,1600942358.950677
Coinbase,eth_eur,283.09,1600942359.928198
Coinbase,eth_usd,329.02,1600942360.04312
Coinbase,eth_usd,329.03,1600942360.043604
Coinbase,eth_usd,329.04,1600942360.044038
Coinbase,eth_usd,329.08,1600942360.045098
Coinbase,eth_usd,329.08,1600942360.046784
Coinbase,eth_usd,329.08,1600942360.048645
Coinbase,eth_usd,329.02,1600942360.072456
Coinbase,eth_usd,329.11,1600942360.07339
Coinbase,eth_usd,329.12,1600942360.075475
Coinbase,eth_usd,329.13,1600942360.077424
Coinbase,eth_usd,329.13,1600942360.153625
Coinbase,eth_usd,329.15,1600942360.154058
Coinbase,btc_usd,10325.86,1600942360.157927
Coinbase,eth_eur,283.1,1600942360.277638
Coinbase,eth_eur,283.1,1600942360.278117
Coinbase,eth_usd,329.14,1600942360.399461
Coinbase,eth_usd,329.2,1600942360.400943
Coinbase,eth_usd,329.2,1600942360.401971
Coinbase,eth_usd,329.22,1600942360.40492
Coinbase,eth_usd,329.23,1600942360.40535
Coinbase,btc_usd,10326.11,1600942360.524728
Coinbase,eth_usd,329.2,1600942360.556602
Coinbase,eth_usd,329.2,1600942360.559811
Coinbase,btc_usd,10326.11,1600942360.633531
Coinbase,btc_usd,10327.63,1600942361.479087
Coinbase,btc_usd,10328.55,1600942365.601837
Coinbase,btc_eur,8886.57,1600942373.702968
Coinbase,btc_eur,8885,1600942373.713095
Coinbase,eth_eur,283.41,1600942374.702031
Coinbase,btc_usd,10326.76,1600942378.694076
Coinbase,btc_usd,10327.08,1600942378.762247
Coinbase,btc_eur,8886.57,1600942378.8887
Coinbase,btc_eur,8885,1600942379.724633
Coinbase,btc_eur,8885,1600942379.725298
Coinbase,btc_eur,8883.47,1600942379.725712
Coinbase,btc_eur,8883.3,1600942379.726125
Coinbase,btc_usd,10326.75,1600942379.965879
Coinbase,btc_usd,10325.96,1600942380.87654
